date,year,artist,lineup,venue,city,country,attendance,url
2010-12-09,2010,The Greatest Bandit: Music of Kurt Weill,"Daniel Knox, Man is Man, Sally Timms",The Viaduct Theater,Chicago,United States,1,https://www.last.fm/event/3932260+The+Greatest+Bandit:+Music+of+Kurt+Weill
2010-12-15,2010,Andrew Bird,,Fourth Presbyterian Church,Chicago,United States,26,https://www.last.fm/event/1712165+Andrew+Bird+at+Fourth+Presbyterian+Church+on+15+December+2010
2011-01-12,2011,Houses (Chicago)/Sun Airway/The Helio Sequence,"Houses (Chicago), California Wives, Houses, Sun Airway, The Helio Sequence",Lincoln Hall,Chicago,United States,12,https://www.last.fm/event/1778251+Houses+(Chicago)%2FSun+Airway%2FThe+Helio+Sequence
2011-02-12,2011,James Hunter,,SPACE,"Evanston, IL",United States,1,https://www.last.fm/event/2034327+James+Hunter+at+SPACE+on+12+February+2011
2011-03-03,2011,The Pogues,Titus Andronicus,Congress Theater,Chicago,United States,42,https://www.last.fm/event/1748979+The+Pogues+at+Congress+Theater+on+03+March+2011
2011-03-12,2011,Middle Brother,"Dawes, Deer Tick, Jonny Corndawg",Metro,Chicago,United States,23,https://www.last.fm/event/1800169+Middle+Brother+at+Metro+on+12+March+2011
2011-03-23,2011,Papercuts,Still Corners,Schubas Tavern,Chicago,United States,3,https://www.last.fm/event/1873483+Papercuts+at+Schubas+Tavern+on+23+March+2011
2011-05-14,2011,Loudon Wainwright III,,Old Town School of Folk Music,Chicago,United States,1,https://www.last.fm/event/2034325+Loudon+Wainwright+III+at+Old+Town+School+of+Folk+Music+on+14+May+2011
2011-05-26,2011,Daniel Knox,,The Hideout,Chicago,United States,1,https://www.last.fm/event/2034322+Daniel+Knox+at+The+Hideout+on+26+May+2011
2011-07-29,2011,Woods,"Woods, DJ Britt Govea, The Fresh & Onlys, The Mantles",The Independent,San Francisco,United States,23,https://www.last.fm/event/1966466+Woods
2011-08-12,2011,Vetiver,"Extra Classic, tUnE-yArDs",Rickshaw Stop,San Francisco,United States,3,https://www.last.fm/event/2016745+Vetiver+at+Rickshaw+Stop+on+12+August+2011
2011-08-27,2011,The Dodos,The Luyas,The Autry in Griffith Park,Los Angeles,United States,12,https://www.last.fm/event/2011605+The+Dodos+at+The+Autry+in+Griffith+Park+on+27+August+2011
2011-09-10,2011,Fleet Foxes,The Walkmen,Greek Theatre - U.C. Berkeley,Berkeley,United States,80,https://www.last.fm/event/1962875+Fleet+Foxes+at+Greek+Theatre+-+U.C.+Berkeley+on+10+September+2011
2011-09-23,2011,James Vincent McMorrow,William Elliott Whitmore,Slim's,San Francisco,United States,3,https://www.last.fm/event/2061010+James+Vincent+McMorrow+at+Slim%27s+on+23+September+2011
2011-10-11,2011,Chad VanGaalen,Gary War,Café du Nord,San Francisco,United States,2,https://www.last.fm/event/2084448+Chad+VanGaalen+at+Caf%C3%A9+du+Nord+on+11+October+2011
2011-10-14,2011,"""How Do You Do"" Album Release Party!","Mayer Hawthorne, Chico Mann, Mayer Hawthorne & The County",Bimbo's 365 Club,San Francisco,United States,8,https://www.last.fm/event/2042285+%22How+Do+You+Do%22+Album+Release+Party!
2011-11-23,2011,Crooked Fingers,Strand of Oaks,Bottom of the Hill,San Francisco,United States,1,https://www.last.fm/event/2027270+Crooked+Fingers+at+Bottom+of+the+Hill+on+23+November+2011
2011-12-03,2011,The National,"Local Natives, Wye Oak",Bill Graham Civic Auditorium,San Francisco,United States,106,https://www.last.fm/event/2054879+The+National+at+Bill+Graham+Civic+Auditorium+on+03+December+2011
2012-01-20,2012,The Walkmen,,The Independent,San Francisco,United States,1,https://www.last.fm/event/3175390+The+Walkmen+at+The+Independent+on+20+January+2012
2012-05-18,2012,Lee Fields & The Expressions,,Brick & Mortar Music Hall,San Francisco,United States,5,https://www.last.fm/event/3202694+Lee+Fields+&+The+Expressions+at+Brick+&+Mortar+Music+Hall+on+18+May+2012
2012-08-09,2012,Outside Lands Night Show - Andrew Bird,Andrew Bird,The Independent,San Francisco,United States,8,https://www.last.fm/event/3336109+Outside+Lands+Night+Show+-+Andrew+Bird
2012-08-10,2012,Outside Lands Music & Arts Festival 2012,"Alabama Shakes, Allen Stone, Amadou & Mariam, Andrew Bird, Animal Kingdom, Antibalas Afrobeat Orchestra, Beck, Big Boi, Big Gigantic",Golden Gate Park,San Francisco,United States,485,https://www.last.fm/festival/3230923+Outside+Lands+Music+&+Arts+Festival+2012
2012-08-10,2012,Sharon Van Etten,"Sharon Van Etten, Dosh",Rickshaw Stop,San Francisco,United States,9,https://www.last.fm/event/3345509+Sharon+Van+Etten
2012-08-19,2012,Phish,,Bill Graham Civic Auditorium,San Francisco,United States,4,https://www.last.fm/event/3256629+Phish+at+Bill+Graham+Civic+Auditorium+on+19+August+2012
2012-09-22,2012,Wilco,,Greek Theatre - U.C. Berkeley,Berkeley,United States,21,https://www.last.fm/event/3290991+Wilco+at+Greek+Theatre+-+U.C.+Berkeley+on+22+September+2012
2012-10-07,2012,Michael Kiwanuka,,The Independent,San Francisco,United States,3,https://www.last.fm/event/3336986+Michael+Kiwanuka+at+The+Independent+on+07+October+2012
2013-01-25,2013,The Walkmen,"The Walkmen, Father John Misty",The Fillmore,San Francisco,United States,14,https://www.last.fm/event/3479794+The+Walkmen
2013-03-09,2013,James Hunter,The Relatives,Bimbo's 365 Club,San Francisco,United States,1,https://www.last.fm/event/3461306+James+Hunter+at+Bimbo%27s+365+Club+on+09+March+2013
2013-05-21,2013,Devendra Banhart,,The Regency Ballroom,San Francisco,United States,15,https://www.last.fm/event/3544650+Devendra+Banhart+at+The+Regency+Ballroom+on+21+May+2013
2013-06-08,2013,Chipotle Cultivate,"Mayer Hawthorne, LP, Matt Costa, The Walkmen, Walk the Moon",Golden Gate Park,San Francisco,United States,34,https://www.last.fm/festival/3582417+Chipotle+Cultivate
2014-01-26,2014,The Gene Clark: No Other Tour,"Hamilton Leithauser, Alex Scully, Daniel Rossen, Robin Pecknold, Victoria Legrand",Music Hall of Williamsburg,Brooklyn,United States,1,https://www.last.fm/event/3932264+The+Gene+Clark:+No+Other+Tour
2014-03-21,2014,Bill Frisell's Beautiful Dreamers,Bill Frisell,Village Vanguard,New York,United States,1,https://www.last.fm/event/3932261+Bill+Frisell%27s+Beautiful+Dreamers
2014-04-09,2014,James Vincent McMorrow,,Bowery Ballroom,New York,United States,3,https://www.last.fm/event/3809745+James+Vincent+McMorrow+at+Bowery+Ballroom+on+09+April+2014
2014-04-11,2014,Wheat,Wheat,Union Hall,Brooklyn,United States,1,https://www.last.fm/event/3932262+Wheat
2014-04-15,2014,Daniel Rossen,William Tyler,Music Hall of Williamsburg,Brooklyn,United States,20,https://www.last.fm/event/3752713+Daniel+Rossen+at+Music+Hall+of+Williamsburg+on+15+April+2014
2014-04-16,2014,Hamilton Leithauser,Hamilton Leithauser,Joe's Pub,New York,United States,2,https://www.last.fm/event/3932263+Hamilton+Leithauser
2014-06-06,2014,Hamilton Leithauser,Hamilton Leithauser,Manhattan Inn,Brooklyn,United States,1,https://www.last.fm/event/3932265+Hamilton+Leithauser
2014-06-07,2014,Hamilton Leithauser,San Fermin,Brooklyn Academy of Music,Brooklyn,United States,3,https://www.last.fm/event/3878650+Hamilton+Leithauser+at+Brooklyn+Academy+of+Music+on+07+June+2014
2014-08-29,2014,The Handsome Family,"Cereus Bright, Richard Buckner",Rough Trade NYC,Brooklyn,United States,2,https://www.last.fm/event/3881692+The+Handsome+Family+at+Rough+Trade+NYC+on+29+August+2014
2014-09-26,2014,Broken Bells,Hamilton Leithauser,Central Park,New York,United States,18,https://www.last.fm/event/3904217+Broken+Bells+at+Central+Park+on+26+September+2014
2014-10-01,2014,Delta Spirit,Streets of Laredo,Bowery Ballroom,New York,United States,4,https://www.last.fm/event/3960361+Delta+Spirit+at+Bowery+Ballroom+on+01+October+2014
2014-11-10,2014,Howe Gelb and Grant-Lee Philips,"Howe Gelb, Grant-Lee Phillips",SubCulture,New York City,United States,1,https://www.last.fm/event/4595101+Howe+Gelb+and+Grant-Lee+Philips
2014-12-04,2014,Sophia Knapp,"Daniel Knox, Nico Turner",Baby's All Right,Brooklyn,United States,1,https://www.last.fm/event/4011416+Sophia+Knapp+at+Baby%27s+All+Right+on+04+December+2014
2014-12-11,2014,Hamilton Leithauser,,Bowery Ballroom,New York,United States,3,https://www.last.fm/event/3975078+Hamilton+Leithauser+at+Bowery+Ballroom+on+11+December+2014
2015-01-30,2015,Hamilton Leithauser,,Bowery Ballroom,New York,United States,3,https://www.last.fm/event/4011418+Hamilton+Leithauser+at+Bowery+Ballroom+on+30+January+2015
2015-02-27,2015,The Dodos,Springtime Carnivore,Music Hall of Williamsburg,Brooklyn,United States,7,https://www.last.fm/event/3999346+The+Dodos+at+Music+Hall+of+Williamsburg+on+27+February+2015
2015-04-12,2015,Daniel Knox,Angela James,Rockwood Music Hall,New York,United States,1,https://www.last.fm/event/4122655+Daniel+Knox+at+Rockwood+Music+Hall+on+12+April+2015
2015-04-30,2015,Lord Huron,Hamilton Leithauser,Terminal 5,New York,United States,5,https://www.last.fm/event/4055340+Lord+Huron+at+Terminal+5+on+30+April+2015
2015-05-01,2015,Sufjan Stevens,Naomi Shelton & the Gospel Queens,Kings Theatre,Brooklyn,United States,26,https://www.last.fm/event/4041710+Sufjan+Stevens+at+Kings+Theatre+on+01+May+2015
2015-05-02,2015,Sufjan Stevens,Moses Sumney,Kings Theatre,Brooklyn,United States,16,https://www.last.fm/event/4050225+Sufjan+Stevens+at+Kings+Theatre+on+02+May+2015
2015-06-07,2015,Calexico,Gaby Moreno,Bowery Ballroom,New York,United States,7,https://www.last.fm/event/4053201+Calexico+at+Bowery+Ballroom+on+07+June+2015
2015-08-04,2015,Edward Sharpe & The Magnetic Zeros,Preservation Hall Jazz Band,Prospect Park Bandshell,"Brooklyn, New York",United States,3,https://www.last.fm/event/4079741+Edward+Sharpe+&+The+Magnetic+Zeros+at+Prospect+Park+Bandshell+on+04+August+2015
2015-10-09,2015,Sun Kil Moon,,Town Hall,New York,United States,14,https://www.last.fm/event/4074563+Sun+Kil+Moon+at+Town+Hall+on+09+October+2015
2015-11-01,2015,Gregg Allman,Gregg Allman,City Winery,"New York, NY",United States,1,https://www.last.fm/event/4595140+Gregg+Allman
2015-12-11,2015,Hamilton Leithauser,Hamilton Leithauser,Baby's All Right,"Brooklyn, NY",United States,1,https://www.last.fm/event/4595139+Hamilton+Leithauser
2016-04-03,2016,Michael Kiwanuka,Michael Kiwanuka,Rough Trade NYC,"Brooklyn, NY",United States,1,https://www.last.fm/event/4595137+Michael+Kiwanuka
2016-04-06,2016,"Edward Sharpe and the Magnetic Zeroes at St. Ann & the Holy Trinity church in Brooklyn Heights, NYC",Edward Sharpe & The Magnetic Zeros,St. Ann and the Holy Trinity Church,Brooklyn,United States,1,"https://www.last.fm/event/4595135+Edward+Sharpe+and+the+Magnetic+Zeroes+at+St.+Ann+&+the+Holy+Trinity+church+in+Brooklyn+Heights,+NYC"
2016-06-02,2016,Hamilton Leithauser and Paul Maroon,"Hamilton Leithauser, Paul Maroon",Union Pool,Brooklyn,United States,1,https://www.last.fm/event/4595134+Hamilton+Leithauser+and+Paul+Maroon
2016-06-26,2016,Bill Callahan,Sunwatchers,Baby's All Right,Brooklyn,United States,3,https://www.last.fm/event/4253188+Bill+Callahan+at+Baby%27s+All+Right+on+26+June+2016
2016-07-21,2016,Rayland Baxter,"Rayland Baxter, Futurebirds",Brooklyn Bowl,"Brooklyn, NY",United States,1,https://www.last.fm/event/4595133+Rayland+Baxter
2016-08-19,2016,Wilco,"Wilco, Kurt Vile and the Violaters",Breese Stevens Field,Madison WI,United States,2,https://www.last.fm/event/4296421+Wilco
2016-12-01,2016,The Tallest Man on Earth,Gordi,Melbourne Recital Centre,Southbank,Australia,2,https://www.last.fm/event/4279902+The+Tallest+Man+on+Earth+at+Melbourne+Recital+Centre+on+01+December+2016
2017-01-18,2017,Moses Sumney,"Moses Sumney, Leah Senior",The Toff in Town,Melbourne,Australia,1,https://www.last.fm/event/4595132+Moses+Sumney
2017-04-18,2017,Andrew Bird,,Melbourne Recital Centre,Southbank,Australia,2,https://www.last.fm/event/4304911+Andrew+Bird+at+Melbourne+Recital+Centre+on+18+April+2017
2017-05-31,2017,Bill Callahan,Bill Callahan,The Howler,Brunswick,Australia,1,https://www.last.fm/event/4595130+Bill+Callahan
2018-03-01,2018,The National,,Sidney Myer Music Bowl,Melbourne,Australia,19,https://www.last.fm/event/4354739+The+National+at+Sidney+Myer+Music+Bowl+on+01+March+2018
2019-02-12,2019,Charlie Whitten,"Charlie Whitten, Alexander Biggs",Some Velvet Morning,Clifton Hill,Australia,1,https://www.last.fm/event/4595498+Charlie+Whitten
2019-03-08,2019,Gregory Alan Isakov,"Gregory Alan Isakov, Harrison Storm",The Croxton Bandroom,Melbourne,Australia,1,https://www.last.fm/event/4595124+Gregory+Alan+Isakov
2019-05-25,2019,Jeff Tweedy,"Jeff Tweedy, Jen Cloher",Athenaeum Theatre,"Melbourne, Victoria",Australia,1,https://www.last.fm/event/4595126+Jeff+Tweedy
2019-10-11,2019,Felice Brothers,The Felice Brothers,Corner Hotel,Richmond,Australia,1,https://www.last.fm/event/4595129+Felice+Brothers
2019-10-13,2019,Sui Zhen,"Sui Zhen, Sad",The Howler,Brunswick,Australia,1,https://www.last.fm/event/4595128+Sui+Zhen
2020-03-04,2020,Bill Callahan,"Bill Callahan, Xylouris White",The Arts Centre,Melbourne,Australia,1,https://www.last.fm/event/4595131+Bill+Callahan
